cod;municipio;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;total 
270010;Água Branca;9;8;17;24;35;15;5;4;2;4;6;9;138
270020;Anadia;35;15;20;13;28;10;13;8;6;3;7;1;159
270030;Arapiraca;2119;2097;4674;5675;3808;3857;2426;1824;1500;1517;2500;2451;34448
270040;Atalaia;31;26;50;313;137;53;52;49;31;29;20;33;824
270050;Barra de Santo Antônio;8;17;22;38;42;27;25;16;12;5;5;12;229
270060;Barra de São Miguel;6;7;52;57;79;66;26;10;2;4;4;7;320
270070;Batalha;2;3;15;5;4;2;1;6;11;19;159;21;248
270080;Belém;14;6;13;36;37;16;18;9;10;8;7;3;177
270090;Belo Monte;4;1;5;8;2;3;3;1;12;23;28;13;103
270100;Boca da Mata;7;12;39;96;76;80;90;48;13;10;12;9;492
270110;Branquinha;3;8;23;49;49;21;39;16;10;7;6;1;232
270120;Cacimbinhas;2;6;32;30;29;19;17;33;102;6;3;3;282
270130;Cajueiro;3;8;36;44;36;21;24;14;10;1;5;3;205
270135;Campestre;8;8;4;4;12;4;23;12;2;2;5;2;86
270140;Campo Alegre;12;72;93;54;102;31;15;12;7;8;8;9;423
270150;Campo Grande;24;39;79;27;35;28;32;14;11;3;10;13;315
270160;Canapi;10;22;55;31;51;7;5;15;59;194;137;10;596
270170;Capela;4;3;4;10;12;17;19;12;5;4;5;0;95
270180;Carneiros;32;76;37;34;23;5;1;2;1;4;12;17;244
270190;Chã Preta;0;0;2;5;20;14;6;4;2;0;0;0;53
270200;Coité do Nóia;29;52;65;116;135;112;84;48;41;29;56;44;811
270210;Colônia Leopoldina;24;87;178;210;92;97;80;81;71;41;15;22;998
270220;Coqueiro Seco;29;32;31;36;28;28;36;43;5;9;11;23;311
270230;Coruripe;14;23;28;30;29;25;43;19;14;6;4;2;237
270235;Craíbas;53;99;216;225;236;112;81;85;79;100;155;76;1517
270240;Delmiro Gouveia;45;50;180;636;326;87;50;33;31;21;45;31;1535
270250;Dois Riachos;6;27;102;35;25;13;7;4;18;97;4;4;342
270255;Estrela de Alagoas;38;34;100;184;155;53;10;7;36;73;19;6;715
270260;Feira Grande;36;63;132;202;196;197;129;94;59;36;56;49;1249
270270;Feliz Deserto;3;1;10;14;9;2;0;0;0;0;0;0;39
270280;Flexeiras;60;21;31;51;50;48;45;18;2;4;7;13;350
270290;Girau do Ponciano;66;119;220;186;114;89;62;46;20;27;61;55;1065
270300;Ibateguara;3;1;1;4;5;9;6;2;1;0;0;3;35
270310;Igaci;43;55;51;80;71;44;75;17;15;16;18;27;512
270320;Igreja Nova;9;35;86;116;131;76;33;40;23;21;14;12;596
270330;Inhapi;88;189;161;84;53;14;20;46;437;398;375;133;1998
270340;Jacaré dos Homens;5;5;2;17;8;1;13;16;2;2;0;2;73
270350;Jacuípe;12;36;9;15;9;5;6;0;3;0;0;3;98
270360;Japaratinga;3;7;19;12;18;24;15;10;5;4;0;1;118
270370;Jaramataia;1;6;12;13;21;21;37;12;14;10;31;10;188
270375;Jequiá da Praia;6;7;21;21;32;12;14;16;5;2;0;3;139
270380;Joaquim Gomes;3;5;13;52;32;22;28;4;15;10;7;3;194
270390;Jundiá;3;0;0;0;2;3;5;0;0;0;1;3;17
270400;Junqueiro;9;16;47;141;165;54;25;16;14;32;26;17;562
270410;Lagoa da Canoa;18;22;67;91;51;56;23;18;11;19;16;15;407
270420;Limoeiro de Anadia;51;43;65;80;85;87;51;36;38;54;57;46;693
270430;Maceió;1905;2963;6841;9567;12415;10453;8944;6210;4074;2693;2287;1359;69711
270440;Major Isidoro;123;146;105;60;48;12;16;234;25;3;3;3;778
270490;Mar Vermelho;1;0;2;3;2;1;3;3;0;1;0;0;16
270450;Maragogi;28;108;440;761;907;421;359;103;47;38;37;20;3269
270460;Maravilha;13;15;41;17;18;7;2;2;7;24;16;8;170
270470;Marechal Deodoro;70;150;298;428;564;448;485;323;156;99;93;67;3181
270480;Maribondo;20;52;24;107;39;58;66;18;7;5;3;5;404
270500;Mata Grande;632;353;491;527;318;91;34;31;96;107;259;422;3361
270510;Matriz de Camaragibe;47;46;198;190;197;118;60;24;14;20;3;4;921
270520;Messias;13;45;140;84;53;39;22;22;14;18;16;16;482
270530;Minador do Negrão;5;4;1;7;3;7;1;0;5;4;2;2;41
270540;Monteirópolis;33;5;11;36;14;15;2;6;0;5;4;6;137
270550;Murici;21;41;223;209;182;82;68;35;16;16;15;14;922
