municipio;lixo;esgoto;estudo;salario
Água Branca;63,68;70,12;77,04;93,75
Anadia;18,35;80,93;73,81;89,7
Arapiraca;8,73;80,79;58,06;91,51
Atalaia;23,25;75,71;72,34;90,14
Barra de Santo Antônio;11,97;76,38;66,47;89,95
Barra de São Miguel;5,28;46,08;62,71;92,48
Batalha;36,4;78,52;72,29;95,94
Belém;41,14;81,73;79,17;95,34
Belo Monte;70,26;64,29;80,97;86,77
Boca da Mata;14,42;33,65;71,75;90,73
Branquinha;38,62;63,36;84,27;87,62
Cacimbinhas;44,22;99,72;81,93;93,65
Cajueiro;20,62;90,18;75,09;93,06
Campestre;24,52;42,81;71,41;93,56
Campo Alegre;3,29;76,68;74,6;91,19
Campo Grande;48,27;92,39;84,82;94,13
Canapi;65,87;93,89;84,9;93,51
Capela;21,11;43,57;72,62;92,92
Carneiros;43,44;99,76;73,52;94,38
Chã Preta;37,32;93,89;77,73;91,21
Coité do Nóia;65,57;98,26;84,49;91,5
Colônia Leopoldina;19,46;31,81;74,14;93,29
Coqueiro Seco;12,38;84,98;59;91,26
Coruripe;12,19;83,33;65,58;90,53
Craíbas;50,37;92,55;81,34;90,42
Delmiro Gouveia;11,95;26,08;62,93;91,63
Dois Riachos;47,05;99,19;81,53;91,69
Estrela de Alagoas;75,82;93,65;84,63;94,79
Feira Grande;67,42;92,26;81,27;92,44
Feliz Deserto;11,06;98,5;68,47;91,79
Flexeiras;36,95;42,95;74,47;90
Girau do Ponciano;57,27;97,57;79,57;87,97
Ibateguara;16,32;41,14;82,63;90,3
Igaci;57,2;93,94;80,22;93,48
Igreja Nova;60,59;93,05;80,32;89,1
Inhapi;53,25;86,21;86,24;86,73
Jacaré dos Homens;24,15;93,56;77,47;92,49
Jacuípe;36,32;73,22;77,47;94,03
Japaratinga;42,2;87,96;67,09;90,15
Jaramataia;34,48;98,71;78,61;95,33
Jequiá da Praia;23,23;97,95;79,79;95,92
Joaquim Gomes;41,09;84,32;75,07;89,55
Jundiá;34,25;95,82;73,38;93,55
Junqueiro;40,89;98,85;78;91,93
Lagoa da Canoa;37,87;94,7;82,17;91,65
Limoeiro de Anadia;53,91;88,4;32,37;90,97
Maceió;2,37;51,58;78,16;83,94
Major Isidoro;46,31;76,03;69,34;94,87
Mar Vermelho;34,6;61,76;81,45;88,87
Maragogi;47,53;86,4;59,42;90,73
Maravilha;7,61;71,6;71,7;88,67
Marechal Deodoro;16,96;30,72;71,47;94,23
Maribondo;48,07;84,01;79,71;93,59
Mata Grande;67,59;78,21;69,99;86,84
Matriz de Camaragibe;12,71;90,19;66,85;91,06
Messias;11,37;68,2;82,39;93,75
Minador do Negrão;57,52;99,25;81,22;93,27
Monteirópolis;41,27;99,12;70,39;93,76
Murici;25,01;33,07;76,81;87,7
Novo Lino;56,14;64,79;68,66;90,81
Olho d'Água das Flores;23,59;97,72;82,54;94,5
Olho d'Água do Casado;43,21;87,13;85,74;93,25
Olho d'Água Grande;74,52;99,31;81,59;95,47
Olivença;56,11;99,24;70,32;94,1
Ouro Branco;39,38;96,98;70,53;96,6
Palestina;18,08;94,42;60,57;78,86
Palmeira dos Índios;30,85;86,25;69,75;89,85
Pão de Açúcar;33,89;80,88;82,36;89,71
Pariconha;40,87;96,03;61,03;95,66
Paripueira;17,84;87,1;74,09;92,46
Passo de Camaragibe;29,1;96,92;73,15;90,38
Paulo Jacinto;18,99;88,73;55,12;94,85
Penedo;13,31;68,89;68,02;88,04
Piaçabuçu;7,72;57,88;60,64;88,89
Pilar;5;73,17;80,12;90,59
Pindoba;41,91;99,73;66,04;92,52
Piranhas;20,8;48,21;84,73;86,83
Poço das Trincheiras;64,61;97,18;70,57;92,26
Porto Calvo;19,89;83,93;73,34;93,36
Porto de Pedras;54,11;95,37;74,59;92,55
Porto Real do Colégio;57,17;61,35;76,86;85,51
Quebrangulo;35,6;87,51;47,77;93,46
Rio Largo;13,12;65,66;79,81;92,1
Roteiro;29,06;93,1;56,93;92,9
Santa Luzia do Norte;6,94;96,8;66,18;92,05
Santana do Ipanema;32,69;93,7;80,52;92,12
Santana do Mundaú;49,52;92,88;74,92;90,35
São Brás;17,99;84,86;71,53;90,57
São José da Laje;33,33;31,02;81,49;95,4
São José da Tapera;50,94;95,4;74,19;91,22
São Luís do Quitunde;35,87;86,39;60;92,92
São Miguel dos Campos;3,17;36,36;64,04;90,57
São Miguel dos Milagres;32,45;92,27;80,9;93,46
São Sebastião;55,21;98,05;41,86;88,27
Satuba;2,35;27,81;85,13;91,79
Senador Rui Palmeira;59,3;93,48;78,96;94,37
Tanque d'Arca;44,38;97,22;80,11;92,12
Taquarana;56;90,59;73,66;94,52
Teotônio Vilela;8,77;52,51;81,61;91,57
Traipu;71,45;89,71;69,95;84,55
União dos Palmares;20,43;34,71;70,53;91,15
Viçosa;20,73;68,1;;82,45
Total;;;;
